,ACWI,AGG,GLD,BSV
2008-01-04,0.20342101298766135,0.20342101298766135,0.38973696103701594,0.20342101298766135
2008-01-11,0.20342101298766135,0.20342101298766135,0.38973696103701594,0.20342101298766135
2008-01-18,0.20342101298766135,0.20342101298766135,0.38973696103701594,0.20342101298766135
2008-01-25,0.20342101298766135,0.20342101298766135,0.38973696103701594,0.20342101298766135
2008-02-01,0.2012961491904237,0.2012961491904237,0.3961115524287288,0.2012961491904237
2008-02-08,0.2012961491904237,0.2012961491904237,0.3961115524287288,0.2012961491904237
2008-02-15,0.2012961491904237,0.2012961491904237,0.3961115524287288,0.2012961491904237
2008-02-22,0.2012961491904237,0.2012961491904237,0.3961115524287288,0.2012961491904237
2008-02-29,0.20749861005825398,0.20749861005825398,0.37750416982523805,0.20749861005825398
2008-03-07,0.20749861005825398,0.20749861005825398,0.37750416982523805,0.20749861005825398
2008-03-14,0.20749861005825398,0.20749861005825398,0.37750416982523805,0.20749861005825398
2008-03-21,0.20749861005825398,0.20749861005825398,0.37750416982523805,0.20749861005825398
2008-03-28,0.20749861005825398,0.20749861005825398,0.37750416982523805,0.20749861005825398
2008-04-04,0.20602050379214235,0.20602050379214235,0.38193848862357294,0.20602050379214235
2008-04-11,0.20602050379214235,0.20602050379214235,0.38193848862357294,0.20602050379214235
2008-04-18,0.20602050379214235,0.20602050379214235,0.38193848862357294,0.20602050379214235
2008-04-25,0.20602050379214235,0.20602050379214235,0.38193848862357294,0.20602050379214235
2008-05-02,0.2842234103026583,0.2842234103026583,0.1473297690920251,0.2842234103026583
2008-05-09,0.2842234103026583,0.2842234103026583,0.1473297690920251,0.2842234103026583
2008-05-16,0.2842234103026583,0.2842234103026583,0.1473297690920251,0.2842234103026583
2008-05-23,0.2842234103026583,0.2842234103026583,0.1473297690920251,0.2842234103026583
2008-05-30,0.2842234103026583,0.2842234103026583,0.1473297690920251,0.2842234103026583
2008-06-06,0.29678296478004196,0.29678296478004196,0.10965110565987407,0.29678296478004196
2008-06-13,0.29678296478004196,0.29678296478004196,0.10965110565987407,0.29678296478004196
2008-06-20,0.29678296478004196,0.29678296478004196,0.10965110565987407,0.29678296478004196
2008-06-27,0.29678296478004196,0.29678296478004196,0.10965110565987407,0.29678296478004196
2008-07-04,0.2935750111975008,0.2935750111975008,0.11927496640749757,0.2935750111975008
2008-07-11,0.2935750111975008,0.2935750111975008,0.11927496640749757,0.2935750111975008
