segment,strategy,n_periods,total_return,CAGR,ann_return,ann_vol,Sharpe,Sortino,max_drawdown,calmar,hit_rate,best_period,worst_period,active_sharpe_vs_bench,excess_ann_return
TRAIN (through 2024-12-31),Fundamental,874,1.2797725946176919,0.050251516956450804,0.05208114905138586,0.07767010305351613,0.6705430661718189,0.9740817374238094,-0.19979623925182888,0.25151382801110866,0.5491990846681922,0.07131532678779588,-0.09110154301068145,0.03689069897933155,0.0006239194422841171
TRAIN (through 2024-12-31),Equal-weight,874,1.264328179283822,0.04982684596515785,0.051457229609101755,0.07487754604161939,0.6872184296811774,1.001763819102232,-0.19189143060131075,0.2596616524720281,0.5537757437070938,0.0679332873475228,-0.07511791226767542,,
VAL 2025,Fundamental,52,0.26682632404994,0.26682632404994,0.23883801821568384,0.06046722929635951,3.9498753456206948,9.023208408375853,-0.021246508963761568,12.558596073597023,0.7115384615384616,0.027261491425288133,-0.021246508963761724,0.772797846032422,0.011392916823050282
VAL 2025,Equal-weight,52,0.25298264372228507,0.25298264372228507,0.2274451013926336,0.054043243936947,4.208576036960271,9.087160936944606,-0.021658084563749624,11.680748728154686,0.75,0.020948423415565465,-0.021658084563749735,,
2026 YTD,Fundamental,23,0.01704956979675276,0.03896179211937656,0.043056684056150374,0.10006438818147723,,,-0.07083777720579709,0.5500143236593267,0.5652173913043478,0.022412881817501076,-0.037041975484337686,,-0.02469119387883989
2026 YTD,Equal-weight,23,0.028137680281708155,0.0647468476838482,0.06774787793499024,0.10178311706058399,,,-0.06704445747550136,0.9657300561721641,0.5652173913043478,0.022368829673913182,-0.03330460132896865,,
