segment,strategy,n_periods,total_return,CAGR,ann_return,ann_vol,Sharpe,Sortino,max_drawdown,calmar,hit_rate,best_period,worst_period
TRAIN,Macro Regime,52,0.2619199790827962,0.2619199790827962,0.23588345238238861,0.07499249045174482,3.1454276416406226,9.342640144086985,-0.016368888804913717,16.001084875362547,0.5961538461538461,0.035071412806724996,-0.01275277761015978
VAL 2025,Macro Regime,52,0.3484611148325236,0.3484611148325236,0.30284684372782567,0.0788457447362237,3.8410042893372562,10.212706089856825,-0.022546680741620806,15.455095977354665,0.6730769230769231,0.03266438202499276,-0.019485749059292585
2026 YTD,Macro Regime,26,-0.027993850747929927,-0.05520404581616245,-0.05225903079273109,0.0964148675849223,-0.5420225334718349,-0.6875555390162437,-0.06540426936151533,-0.8440434600840474,0.5769230769230769,0.02405739950551958,-0.035820064806802235
