segment,strategy,n_periods,total_return,CAGR,ann_return,ann_vol,Sharpe,Sortino,max_drawdown,calmar,hit_rate,best_period,worst_period,active_sharpe_vs_bench,excess_ann_return
TRAIN (through 2024-12-31),Selected (Sacha),876,1.2083854493268888,0.04815264854626955,0.049214270427560554,0.06580017220362804,0.7479352831366453,1.105329613509169,-0.1149752617436336,0.41880877517494197,0.5764840182648402,0.04837458802667305,-0.044403689684937686,-0.05710444594869956,-0.0030961404566301827
TRAIN (through 2024-12-31),Equal-weight,876,1.301634562887111,0.05072905941713857,0.052310410884190736,0.07479005582112236,0.6994300286297837,1.0207573774195644,-0.18921424713879675,0.26810380393780087,0.5547945205479452,0.06851607352897915,-0.07666606826183842,,
VAL 2025,Selected (Sacha),53,0.254038075643263,0.24869336371716444,0.2245665053052587,0.06385791359841307,3.5166589800835486,7.205081460878169,-0.021698599855967782,11.461263186009955,0.7169811320754716,0.027271710391629345,-0.021698599855967782,0.41061025104962384,0.014621356872054587
VAL 2025,Equal-weight,53,0.23607110170184065,0.23113813560785124,0.20994514843320417,0.05697097800096277,3.685124528310822,7.209132744964033,-0.021971542017283907,10.51988683479869,0.7358490566037735,0.02091733547665009,-0.021971542017283907,,
2026 YTD,Selected (Sacha),22,0.06666611456177107,0.16479414519552638,0.15916684217314925,0.11527593929897792,,,-0.07244576346136733,2.2747243913497446,0.6363636363636364,0.03480790970217562,-0.046316894331728475,,0.037816999983642144
2026 YTD,Equal-weight,22,0.050411688539648614,0.12327527383788883,0.1213498421895071,0.10180945026235685,,,-0.06705033673322136,1.8385481690923375,0.6363636363636364,0.021978886769936423,-0.033896361015530396,,
