,CAGR,Sharpe,Sortino,Max DD,Calmar,Hit rate
XGBoost YTD,0.1999367606821847,,,-0.08365966528086721,2.3898823884956397,0.6
EW 25x4,0.12264075268969998,,,-0.06704446153602739,1.8292450991465874,0.6
60/40,0.19274409189956665,,,-0.06263067596280392,3.0774710465209814,0.7
ACWI BH,0.3239572541422897,,,-0.08859988754614945,3.65640705778039,0.6
