Date,ACWI,AGG,GLD,BSV
2010-01-08,0.2747,0.18760000000000002,0.35009999999999997,0.18760000000000002
2010-01-15,0.3467,0.1335,0.4029,0.11689999999999999
2010-01-22,0.2688,0.1128,0.5199,0.09849999999999999
2010-01-29,0.3935,0.1101,0.39990000000000003,0.0965
2010-02-05,0.3104,0.0919,0.5058,0.0919
2010-02-12,0.2864,0.2165,0.40509999999999996,0.092
2010-02-19,0.3589,0.12869999999999998,0.4182,0.0942
2010-02-26,0.4363,0.1732,0.2934,0.0971
2010-03-05,0.3829,0.10300000000000001,0.4181,0.096
2010-03-12,0.5075999999999999,0.09759999999999999,0.3015,0.0933
2010-03-19,0.3829,0.1061,0.3861,0.1249
2010-03-26,0.3257,0.1018,0.4765,0.096
2010-04-09,0.4489,0.0989,0.3547,0.0975
2010-04-16,0.4118,0.0973,0.3936,0.0973
2010-04-23,0.2958,0.149,0.45840000000000003,0.0968
2010-04-30,0.4205,0.10880000000000001,0.3743,0.0964
2010-05-07,0.5453,0.10529999999999999,0.25429999999999997,0.0951
2010-05-14,0.4211,0.225,0.2594,0.09449999999999999
2010-05-21,0.3201,0.2303,0.32270000000000004,0.12689999999999999
2010-05-28,0.2155,0.30469999999999997,0.37310000000000004,0.1067
2010-06-04,0.1489,0.4294,0.3226,0.09910000000000001
2010-06-11,0.16399999999999998,0.40049999999999997,0.3404,0.0951
2010-06-18,0.2883,0.30670000000000003,0.3095,0.0955
2010-06-25,0.4129,0.1833,0.30820000000000003,0.0956
2010-07-02,0.305,0.1671,0.4329,0.095
2010-07-09,0.31739999999999996,0.2792,0.3081,0.0953
2010-07-16,0.4023,0.15439999999999998,0.33020000000000005,0.1131
2010-07-23,0.30210000000000004,0.1364,0.455,0.1065
2010-07-30,0.4121,0.10490000000000001,0.3618,0.12119999999999999
2010-08-06,0.509,0.09,0.311,0.09
2010-08-13,0.6323,0.0907,0.1863,0.0907
2010-08-20,0.508,0.09050000000000001,0.311,0.09050000000000001
2010-08-27,0.3832,0.1161,0.40700000000000003,0.09369999999999999
2010-09-03,0.4303,0.09179999999999999,0.3861,0.09179999999999999
2010-09-10,0.5507,0.0933,0.2627,0.0933
2010-09-17,0.6444,0.0904,0.1748,0.0904
2010-09-24,0.7012999999999999,0.0858,0.12710000000000002,0.0858
2010-10-01,0.5766,0.10830000000000001,0.2218,0.0933
2010-10-08,0.4518,0.1158,0.336,0.0964
2010-10-15,0.40490000000000004,0.09369999999999999,0.36829999999999996,0.1331
2010-10-22,0.2845,0.0966,0.4902,0.12869999999999998
2010-10-29,0.4092,0.09390000000000001,0.39,0.1069
2010-11-05,0.2922,0.2186,0.3887,0.1005
2010-11-12,0.2601,0.13140000000000002,0.5134000000000001,0.0951
2010-11-19,0.38280000000000003,0.1174,0.40259999999999996,0.09720000000000001
2010-11-26,0.4966,0.0889,0.3256,0.0889
2010-12-03,0.3718,0.0944,0.43939999999999996,0.0944
2010-12-10,0.4927,0.09630000000000001,0.3147,0.09630000000000001
2010-12-17,0.3693,0.1,0.43579999999999997,0.0949
2010-12-31,0.461,0.1013,0.3298,0.1079
2011-01-07,0.3028,0.147,0.32189999999999996,0.22829999999999998
2011-01-14,0.2306,0.1378,0.44670000000000004,0.18489999999999998
2011-01-21,0.1891,0.2625,0.4183,0.1301
2011-01-28,0.1232,0.20370000000000002,0.5346,0.13849999999999998
2011-02-04,0.13269999999999998,0.2815,0.4164,0.16940000000000002
2011-02-11,0.1024,0.2059,0.5411,0.1506
2011-02-18,0.09720000000000001,0.1852,0.5015999999999999,0.21600000000000003
2011-02-25,0.1351,0.1423,0.5885,0.1341
2011-03-04,0.2047,0.1975,0.4965,0.1013
2011-03-11,0.1491,0.1325,0.6213000000000001,0.0971
2011-03-18,0.26239999999999997,0.1437,0.4965,0.0974
2011-03-25,0.3,0.2293,0.3718,0.0989
2011-04-01,0.1772,0.2389,0.48700000000000004,0.0969
2011-04-08,0.1512,0.1401,0.5893,0.11939999999999999
2011-04-15,0.1452,0.1711,0.5846,0.09910000000000001
2011-04-29,0.2195,0.094,0.5925,0.094
2011-05-06,0.19390000000000002,0.1328,0.5772999999999999,0.096
2011-05-13,0.3187,0.11689999999999999,0.4693,0.0951
2011-05-20,0.4179,0.1406,0.3446,0.0969
2011-05-27,0.4192,0.2164,0.2212,0.1432
2011-06-03,0.35810000000000003,0.2334,0.2962,0.11230000000000001
2011-06-10,0.369,0.3369,0.19469999999999998,0.09939999999999999
2011-06-17,0.49369999999999997,0.2621,0.14679999999999999,0.0974
2011-06-24,0.4131,0.3182,0.1743,0.0944
2011-07-01,0.3747,0.2927,0.2386,0.094
2011-07-08,0.49950000000000006,0.17300000000000001,0.23379999999999998,0.09369999999999999
2011-07-15,0.4172,0.1319,0.35850000000000004,0.0924
2011-07-22,0.3766,0.1182,0.4118,0.0934
2011-07-29,0.3446,0.0919,0.47159999999999996,0.0919
2011-08-05,0.42229999999999995,0.1373,0.3468,0.09359999999999999
2011-08-12,0.3893,0.23440000000000003,0.255,0.1213
2011-08-19,0.4722,0.1955,0.2377,0.0946
2011-08-26,0.5611,0.159,0.1837,0.0962
2011-09-02,0.43729999999999997,0.2557,0.2118,0.09519999999999999
2011-09-09,0.5418,0.2039,0.15960000000000002,0.0947
2011-09-16,0.49,0.2285,0.1866,0.0949
2011-09-23,0.4355,0.22640000000000002,0.2402,0.09789999999999999
2011-09-30,0.5492,0.23739999999999997,0.11960000000000001,0.09380000000000001
2011-10-07,0.4805,0.23620000000000002,0.1891,0.0942
2011-10-14,0.4425,0.24170000000000003,0.2188,0.09699999999999999
2011-10-21,0.37939999999999996,0.1916,0.3322,0.0968
2011-10-28,0.29960000000000003,0.1489,0.4569,0.0946
2011-11-04,0.4244,0.1115,0.37060000000000004,0.0935
2011-11-11,0.3371,0.0925,0.4779,0.0925
2011-11-18,0.39590000000000003,0.14300000000000002,0.36719999999999997,0.09390000000000001
2011-11-25,0.298,0.1162,0.4913,0.09449999999999999
2011-12-02,0.4143,0.1025,0.3876,0.0956
2011-12-09,0.3923,0.2273,0.2857,0.0947
2011-12-16,0.3942,0.1955,0.316,0.0943
2011-12-23,0.3569,0.18109999999999998,0.36329999999999996,0.0987
2011-12-30,0.335,0.0932,0.47859999999999997,0.0932
2012-01-06,0.3747,0.20079999999999998,0.2237,0.20079999999999998
2012-01-13,0.49950000000000006,0.161,0.17850000000000002,0.161
2012-01-20,0.4129,0.1714,0.2929,0.12279999999999999
2012-01-27,0.5377000000000001,0.1371,0.2159,0.1093
2012-02-03,0.4169,0.1606,0.3172,0.10529999999999999
2012-02-10,0.4892,0.18,0.2207,0.1101
2012-02-17,0.36840000000000006,0.1877,0.33770000000000006,0.10619999999999999
2012-02-24,0.24760000000000001,0.1993,0.4509,0.10220000000000001
2012-03-02,0.1585,0.1678,0.5757,0.098
2012-03-09,0.272,0.179,0.4518,0.09720000000000001
2012-03-16,0.1478,0.25980000000000003,0.49579999999999996,0.0966
2012-03-23,0.1425,0.18539999999999998,0.574,0.0981
2012-03-30,0.1106,0.2822,0.512,0.09519999999999999
2012-04-13,0.2353,0.18510000000000001,0.4855,0.0941
2012-04-20,0.2595,0.1666,0.4797,0.0942
2012-04-27,0.38420000000000004,0.1257,0.39659999999999995,0.0935
2012-05-04,0.336,0.2489,0.3201,0.095
2012-05-11,0.3042,0.1562,0.4449,0.0947
2012-05-18,0.3892,0.1155,0.3986,0.0967
2012-05-25,0.4106,0.19829999999999998,0.2981,0.09300000000000001
2012-06-01,0.4692,0.21059999999999998,0.223,0.09720000000000001
2012-06-08,0.3858,0.18309999999999998,0.3329,0.09820000000000001
2012-06-15,0.39130000000000004,0.2271,0.28800000000000003,0.09359999999999999
2012-06-22,0.32880000000000004,0.1649,0.41240000000000004,0.09390000000000001
2012-06-29,0.3618,0.18760000000000002,0.35340000000000005,0.09720000000000001
2012-07-06,0.3126,0.203,0.39039999999999997,0.094
2012-07-13,0.4368,0.1499,0.3188,0.09449999999999999
2012-07-20,0.33340000000000003,0.1286,0.44329999999999997,0.0947
2012-07-27,0.22190000000000001,0.1157,0.5681,0.0943
2012-08-03,0.3239,0.13849999999999998,0.4436,0.094
2012-08-10,0.2509,0.1907,0.4637,0.0947
2012-08-17,0.23420000000000002,0.1396,0.5313,0.0949
2012-08-24,0.147,0.19940000000000002,0.5567,0.0969
2012-08-31,0.11900000000000001,0.2253,0.5586,0.0971
2012-09-07,0.16390000000000002,0.30510000000000004,0.4371,0.09390000000000001
2012-09-14,0.1206,0.2704,0.5156000000000001,0.0934
2012-09-21,0.1281,0.2148,0.5627,0.0944
2012-09-28,0.1433,0.32270000000000004,0.43799999999999994,0.096
2012-10-05,0.1405,0.33509999999999995,0.43119999999999997,0.0932
2012-10-12,0.265,0.2477,0.39380000000000004,0.0935
2012-10-19,0.35869999999999996,0.2041,0.3372,0.1
2012-10-26,0.2758,0.1641,0.462,0.0981
2012-11-02,0.205,0.1782,0.5218,0.095
2012-11-09,0.305,0.20190000000000002,0.397,0.09609999999999999
2012-11-16,0.41859999999999997,0.12789999999999999,0.3566,0.0969
2012-11-23,0.4855,0.1536,0.2666,0.0943
2012-11-30,0.4777,0.14300000000000002,0.2852,0.0941
2012-12-07,0.3655,0.1305,0.4082,0.0958
2012-12-14,0.2408,0.159,0.5004,0.0998
2012-12-21,0.1559,0.12179999999999999,0.6251,0.09720000000000001
2012-12-28,0.096,0.18780000000000002,0.6202000000000001,0.096
2013-01-04,0.21899999999999997,0.36469999999999997,0.26,0.1563
2013-01-11,0.1497,0.349,0.3848,0.1165
2013-01-18,0.1322,0.2418,0.5083,0.1177
2013-01-25,0.257,0.20489999999999997,0.42869999999999997,0.1094
2013-02-01,0.2138,0.1771,0.4947,0.1144
2013-02-08,0.30820000000000003,0.1416,0.4557,0.09449999999999999
2013-02-15,0.2159,0.1848,0.5056,0.09369999999999999
2013-02-22,0.23149999999999998,0.1586,0.5167,0.0932
2013-03-01,0.20440000000000003,0.2638,0.43829999999999997,0.0935
2013-03-08,0.162,0.1819,0.5631,0.09300000000000001
2013-03-15,0.1997,0.2051,0.5002,0.095
2013-03-22,0.2615,0.268,0.37549999999999994,0.095
2013-04-05,0.24559999999999998,0.3908,0.2666,0.09699999999999999
2013-04-12,0.3704,0.327,0.20600000000000002,0.0966
2013-04-19,0.4579,0.20329999999999998,0.2432,0.0956
2013-04-26,0.3425,0.1948,0.3679,0.09480000000000001
2013-05-03,0.21780000000000002,0.26530000000000004,0.4219,0.095
2013-05-10,0.15810000000000002,0.251,0.4975,0.0934
2013-05-17,0.1954,0.1265,0.5849,0.0932
2013-05-24,0.2757,0.0928,0.5387,0.0928
2013-05-31,0.2988,0.1941,0.414,0.0931
2013-06-07,0.42340000000000005,0.1591,0.3243,0.0932
2013-06-14,0.3728,0.282,0.2502,0.095
2013-06-21,0.4975,0.20129999999999998,0.2065,0.0947
2013-06-28,0.37270000000000003,0.2241,0.2867,0.1165
2013-07-05,0.2671,0.21739999999999998,0.4115,0.10400000000000001
2013-07-12,0.3918,0.17850000000000002,0.3292,0.1005
2013-07-19,0.3373,0.1124,0.45399999999999996,0.09630000000000001
2013-07-26,0.2137,0.1491,0.5421,0.0951
2013-08-02,0.1998,0.1772,0.5302,0.0928
2013-08-09,0.2422,0.15460000000000002,0.5094,0.09380000000000001
2013-08-16,0.1844,0.2793,0.4428,0.0935
2013-08-23,0.2187,0.15460000000000002,0.5192,0.1075
2013-08-30,0.1928,0.27940000000000004,0.4242,0.1036
2013-09-06,0.2261,0.37079999999999996,0.3034,0.09970000000000001
2013-09-13,0.20170000000000002,0.2736,0.42810000000000004,0.0966
2013-09-20,0.233,0.1491,0.5216,0.09630000000000001
2013-09-27,0.2541,0.2527,0.3985,0.0947
2013-10-04,0.2738,0.1917,0.44079999999999997,0.09369999999999999
2013-10-11,0.3973,0.1873,0.3204,0.095
2013-10-18,0.2726,0.1945,0.42829999999999996,0.10460000000000001
2013-10-25,0.38,0.2118,0.3103,0.09789999999999999
2013-11-01,0.2977,0.1693,0.3895,0.1435
2013-11-08,0.2021,0.1743,0.5093,0.1143
2013-11-15,0.1789,0.282,0.44630000000000003,0.0928
2013-11-22,0.14429999999999998,0.402,0.3613,0.0924
2013-11-29,0.1684,0.2773,0.4594,0.0949
2013-12-06,0.152,0.1709,0.5822999999999999,0.09480000000000001
2013-12-13,0.1816,0.2034,0.5156000000000001,0.09939999999999999
2013-12-20,0.1609,0.1249,0.6182,0.096
2013-12-27,0.2763,0.1343,0.4939,0.0955
2014-01-03,0.289,0.20579999999999998,0.3357,0.16949999999999998
2014-01-10,0.3164,0.1655,0.32899999999999996,0.1891
2014-01-17,0.3577,0.1714,0.30760000000000004,0.16329999999999997
2014-01-24,0.374,0.1583,0.3298,0.1379
2014-01-31,0.4103,0.2107,0.2851,0.09390000000000001
2014-02-07,0.32420000000000004,0.172,0.40979999999999994,0.094
2014-02-14,0.447,0.1384,0.3187,0.0959
2014-02-21,0.4581,0.155,0.28859999999999997,0.0983
2014-02-28,0.366,0.1439,0.35960000000000003,0.1305
2014-03-07,0.4386,0.1001,0.36469999999999997,0.0966
2014-03-14,0.322,0.09519999999999999,0.4894,0.0934
2014-03-21,0.38130000000000003,0.14980000000000002,0.3736,0.0953
2014-03-28,0.258,0.2482,0.39990000000000003,0.09390000000000001
2014-04-04,0.38189999999999996,0.20579999999999998,0.3176,0.0947
2014-04-11,0.3296,0.1519,0.4251,0.0934
2014-04-25,0.332,0.2208,0.3502,0.09699999999999999
2014-05-02,0.3693,0.26289999999999997,0.271,0.0968
2014-05-09,0.4275,0.2581,0.2183,0.09609999999999999
2014-05-16,0.3997,0.2187,0.28559999999999997,0.096
2014-05-23,0.3754,0.3124,0.2168,0.09539999999999998
2014-05-30,0.42460000000000003,0.1934,0.2862,0.0958
2014-06-06,0.46270000000000006,0.0981,0.3411,0.0981
2014-06-13,0.34600000000000003,0.0941,0.4658,0.0941
2014-06-20,0.3786,0.17129999999999998,0.3528,0.0973
2014-06-27,0.401,0.0958,0.40740000000000004,0.0958
2014-07-11,0.44409999999999994,0.1388,0.3212,0.0959
2014-07-18,0.3378,0.2635,0.3032,0.0955
2014-07-25,0.2784,0.1997,0.428,0.09390000000000001
2014-08-01,0.37270000000000003,0.22940000000000002,0.3032,0.0947
2014-08-08,0.39280000000000004,0.2021,0.3063,0.09880000000000001
2014-08-15,0.5176,0.1437,0.2426,0.09609999999999999
2014-08-22,0.42369999999999997,0.11449999999999999,0.36729999999999996,0.09449999999999999
2014-08-29,0.312,0.1015,0.4905,0.096
2014-09-05,0.1957,0.0953,0.6152000000000001,0.09380000000000001
