segment,strategy,n_periods,total_return,CAGR,ann_return,ann_vol,Sharpe,Sortino,max_drawdown,calmar,hit_rate,best_period,worst_period
TRAIN walk-forward OOS,XGBoost (Cesar),758,1.6827917776269175,0.07004426672698472,0.07248102383752297,0.09735054224827075,0.7445364161678356,1.1199612020000276,-0.18103263810159886,0.386915130119656,0.5501319261213721,0.08279135530782915,-0.08878701614719273
VAL 2025,XGBoost (Cesar),50,0.2943079225211709,0.30773309279270333,0.27337184439573076,0.09452411731128617,2.8920856620693374,5.038628373694027,-0.04704087619539554,6.541823147903544,0.7,0.0376250515835713,-0.04443009567470083
2026 YTD,XGBoost (Cesar),23,0.02709025078219507,0.06229599956166232,0.0716028188656299,0.1530987163426525,,,-0.08464574080384601,0.73596141955948,0.5217391304347826,0.05276090354356934,-0.03905538881128841
