,CAGR,Sharpe,Sortino,Max DD,Calmar,Hit rate,Turnover/wk (pp)
XGBoost,0.07004426672698472,0.7445364161678356,1.1199612020000276,-0.18103263810159886,0.386915130119656,0.5501319261213721,19.16791556728232
EW 25x4,0.05164673666716357,0.7600677850294919,1.1497716441970713,-0.1520591191173063,0.33964905864883116,0.5527704485488126,
60/40,0.0687509076874826,0.6835844158585243,1.001492677477989,-0.2198285220159285,0.3127478957553151,0.579155672823219,
ACWI BH,0.09396733856600115,0.6191717088891868,0.8941181979480018,-0.3208496122863338,0.29287035099217285,0.5738786279683378,
