Date,kalman_z,kalman_beta
2008-03-28,0.0,0.0
2008-03-31,1.0309129032087583,1.030931757257718
2008-04-01,-0.046334012513359425,1.03042911961714
2008-04-02,0.022546606070816783,1.0306562574266565
2008-04-03,0.09643818093112864,1.031621207036382
2008-04-04,0.04022647985899141,1.0320236470088329
2008-04-07,0.047414252563966565,1.0324977557477022
2008-04-08,-0.007914504019755924,1.0324186006426794
2008-04-09,0.016802930730720447,1.0325866807752602
2008-04-10,0.00579978521078059,1.0326446692453222
2008-04-11,-0.00900846761097961,1.0325545632943198
2008-04-14,-0.004838651505455918,1.0325061773096114
2008-04-15,-0.06783308573058634,1.0318278963133092
2008-04-16,-0.03823880295969263,1.0314455688970159
2008-04-17,0.01715583022858551,1.0316171086987713
2008-04-18,0.051654123092428415,1.0321336681049815
2008-04-21,0.04066219554562901,1.0325402695881085
2008-04-22,0.010425457415318636,1.0326445407724927
2008-04-23,-0.016255975726840333,1.0324819696124998
2008-04-24,-0.007770137391905945,1.0324042850016522
2008-04-25,-0.019590079938747507,1.0322083793018932
2008-04-28,0.02310687892449758,1.0324394728660926
2008-04-29,0.021270620109116872,1.032652201403381
2008-04-30,0.04553863074619081,1.0331077434440712
2008-05-01,0.04724966109122855,1.0335801491405665
2008-05-02,0.010918631867417958,1.033689326476738
2008-05-05,-0.015386449328471183,1.033535439355661
2008-05-06,-0.05215258324076423,1.0330139034481758
2008-05-07,0.010632944158519323,1.0331202484786115
2008-05-08,-0.005474116844361149,1.033065491601512
2008-05-09,-0.013326270478111014,1.0329322087386466
2008-05-12,0.01368328472494655,1.033069021298594
2008-05-13,-0.05144216121654011,1.032554680618485
2008-05-14,0.021698614449971274,1.032771662584747
2008-05-15,0.0413704967779658,1.0331854882927312
2008-05-16,-0.023248932144526294,1.032952988983542
2008-05-19,0.0035151774077799157,1.0329881452788283
2008-05-20,0.036398755941682515,1.0333521573563809
2008-05-21,-0.0035326110532126263,1.0333168308240352
2008-05-22,-0.03158602689816848,1.0330010563206644
2008-05-23,0.01323559279294983,1.0331334398897503
2008-05-27,-0.04994076967858987,1.0326340941988192
2008-05-28,-0.057088880658822186,1.0320632831234873
2008-05-29,-0.04517682570681765,1.0316115409238145
2008-05-30,0.03236468087431716,1.0319352233060348
2008-06-02,0.02910640225417729,1.0322263606774318
2008-06-03,-0.0024495232085998387,1.032201859108347
2008-06-04,-0.037571545521686255,1.0318261586955821
2008-06-05,-0.04791232436436712,1.031347073064792
2008-06-06,0.03141190041376272,1.0316612730061965
2008-06-09,0.02602753569193621,1.031921449212756
2008-06-10,-0.016625013470180444,1.0317552461281243
2008-06-11,-0.02930339614929484,1.0314621475665366
2008-06-12,-0.030949115789049162,1.0311527517334704
2008-06-13,-0.03716706957234609,1.0307811014175783
2008-06-16,-0.0037615996634247405,1.0307434820058197
2008-06-17,0.009347188091554395,1.0308369788043583
2008-06-18,0.05778380430297819,1.0314149042515401
2008-06-19,-0.03183339909577292,1.031096606018129
2008-06-20,0.014737944706067542,1.031244008459369
2008-06-23,0.007557331012285504,1.0313195778987978
2008-06-24,0.009210382889241173,1.0314116966287548
2008-06-25,-0.030623328218285232,1.031105389246931
2008-06-26,0.0016573370634312713,1.0311219645802032
2008-06-27,0.03543123561918936,1.0314763076115798
2008-06-30,-0.02014847740156969,1.0312747777031344
2008-07-01,-0.06544135571105353,1.0306203247082437
2008-07-02,-0.05754019628476417,1.0300448529733983
2008-07-03,-0.031037238467857605,1.029734438099304
2008-07-07,0.03324519722759383,1.0300669360327572
2008-07-08,0.06906557369323993,1.0307576596539456
2008-07-09,0.07040996546339748,1.0314618539521445
2008-07-10,0.03252596368207952,1.0317871389313495
2008-07-11,-0.02861249888895724,1.031501073259249
2008-07-14,-0.03160773636699336,1.0311849213577813
2008-07-15,0.053521312541196894,1.0317201812690153
2008-07-16,-0.07352592315011444,1.0309850223919157
