,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,win_rate_daily,n_rebalances,avg_weekly_turnover
Selected strategy (train),1.2386151638210428,0.04929896927044797,0.06709271380994668,0.7508896939127564,-0.1471216236701106,0.33508989393014427,0.5440758293838862,875.0,0.13034154862599867
Equal-weight (train),1.3016351399988215,0.051039989069263214,0.07526465220426487,0.6991225690281128,-0.20302800720430703,0.25139383364927426,0.5424170616113744,875.0,0.0
Buy-and-hold ACWI (train),2.2404622967085808,0.07273196562836359,0.20433444073517096,0.4461290223661714,-0.562762419485112,0.1292409782709162,0.5376777251184834,0.0,
Selected strategy (2025),0.2537397352495838,0.2560098621005331,0.07379224312416403,3.1271017153365026,-0.028139959778921697,9.097733760525767,0.604,53.0,0.1587195596965834
Equal-weight (2025),0.23607093078758745,0.2381684691587591,0.07263547301149016,2.9785068493704006,-0.043977445410796956,5.415695862595195,0.6,53.0,0.0
Buy-and-hold ACWI (2025),0.22413189450193793,0.2261139659181819,0.17210267945991564,1.2700855456348283,-0.16547174708259016,1.3664808035496478,0.592,0.0,
