model_id,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,win_rate_daily,n_rebalances,avg_weekly_turnover,subperiod_consistency,variant_family
B_ts_momentum_lb63_126_252,1.8775197818179872,0.06514951152743453,0.10024148398080605,0.6799066676101979,-0.1654542017824303,0.3937616018546638,0.542654028436019,876,0.12618474199006743,0.7647058823529411,B_ts_momentum
B_ts_momentum_lb63_126,1.5364669249461684,0.05715533425215247,0.10362091898767523,0.5883585794199931,-0.1762204731113428,0.3243399205723364,0.545734597156398,876,0.1564736969755068,0.7058823529411765,B_ts_momentum
B_ts_momentum_lb126,1.604326475456387,0.05882336997335025,0.1044598528006894,0.5995794377549271,-0.19122429651801076,0.3076145188893916,0.5443127962085308,876,0.1479166100896215,0.7647058823529411,B_ts_momentum
B_ts_momentum_lb252,1.352675331938205,0.05241750340301832,0.09868272588795514,0.5672083750147695,-0.2086825021496158,0.251183030982815,0.5393364928909953,876,0.11326663376450344,0.7058823529411765,B_ts_momentum
C_xs_momentum_v21,1.2386124747431464,0.04929889400224918,0.06709283132992766,0.7508874270286724,-0.14712207821284262,0.33508834704556106,0.5440758293838862,876,0.13041541479101323,0.7647058823529411,C_xs_momentum
C_xs_momentum_v63,1.183652671987843,0.047742506398883444,0.06767736878310024,0.7230545713658814,-0.1471220782128425,0.3245094616581886,0.5438388625592417,876,0.11950408953997714,0.8235294117647058,C_xs_momentum
C_xs_momentum_v126,1.2083854493268973,0.04844741056694368,0.06802465147142825,0.7296017474016352,-0.14712207821284184,0.3293007491156746,0.5433649289099526,876,0.12258176324536713,0.8235294117647058,C_xs_momentum
D_trend_sma50_100_positive_norm_v21,1.0081281716195156,0.04251277105781193,0.07138904277193267,0.6189911317296339,-0.14373235024097364,0.2957773318709211,0.5459715639810426,876,0.164032417646368,0.7647058823529411,D_trend_filtered
D_trend_sma50_100_rank_v21,0.9327272543149463,0.04013296025548718,0.06786721149819677,0.6138109029112789,-0.1419701754625814,0.28268585373457467,0.5436018957345972,876,0.15265147658992445,0.7058823529411765,D_trend_filtered
D_trend_sma50_100_inv_vol_v21,0.7473123902754208,0.03388756723454356,0.0505027232282608,0.6852066743520181,-0.1419701754625815,0.23869497325144298,0.5445497630331754,876,0.12196776998189174,0.8235294117647058,D_trend_filtered
D_trend_sma100_200_positive_norm_v21,1.2578532920101413,0.04983528706861562,0.07147514390222784,0.716266650249037,-0.14362503801412452,0.3469818894927963,0.5443127962085308,876,0.15180325064685443,0.7647058823529411,D_trend_filtered
D_trend_sma100_200_rank_v21,1.2255566185961921,0.048932450172070485,0.06819370848003528,0.7347451599341888,-0.1471220782128424,0.3325976003498239,0.54478672985782,876,0.1351596143615297,0.7647058823529411,D_trend_filtered
D_trend_sma100_200_inv_vol_v21,0.9268349595127563,0.039943327170396836,0.050131702165944536,0.8064111167795728,-0.14712207821284184,0.2714978448891317,0.5450236966824644,876,0.09906748691631023,0.8235294117647058,D_trend_filtered
D_trend_ema100_200_positive_norm_v21,1.278917669617361,0.05041761090712327,0.07124377998784796,0.7261464940356179,-0.1436250380141254,0.3510363624910911,0.5443127962085308,876,0.15130850045430538,0.7647058823529411,D_trend_filtered
D_trend_ema100_200_rank_v21,1.1965708067980176,0.04811161480762416,0.06703409640222315,0.7346033046619244,-0.14606084848235767,0.329394326457274,0.545260663507109,876,0.13465398941903797,0.7647058823529411,D_trend_filtered
D_trend_ema100_200_inv_vol_v21,0.7975339093057465,0.03563854403075295,0.0485228292343799,0.746017058555921,-0.1471220782128423,0.2422379051714759,0.5417061611374407,876,0.09520252316393837,0.8235294117647058,D_trend_filtered
D_trend_sma50_100_positive_norm_v63,0.9934700271092445,0.04205678460911333,0.07216123322732552,0.6070768349297246,-0.145197978214456,0.2896513100684905,0.545734597156398,876,0.15237922846609905,0.7647058823529411,D_trend_filtered
D_trend_sma50_100_rank_v63,0.9373552965095149,0.04028152482402847,0.06872592843869277,0.60907829691804,-0.1419701754625815,0.283732302878257,0.5440758293838862,876,0.14229054677447792,0.7058823529411765,D_trend_filtered
D_trend_sma50_100_inv_vol_v63,0.7702263414582877,0.034692255356261414,0.05062454439347357,0.6990510022697951,-0.14197017546258173,0.2443629814728591,0.5459715639810426,876,0.10515015970493026,0.8235294117647058,D_trend_filtered
D_trend_sma100_200_positive_norm_v63,1.2462202072248623,0.04951149764338436,0.07231792299413582,0.7044968363350456,-0.14355997404116727,0.3448837182792081,0.5476303317535545,876,0.1391828754796691,0.7058823529411765,D_trend_filtered
D_trend_sma100_200_rank_v63,1.1778102826312207,0.04757489772983314,0.06899742128196294,0.7082177498346142,-0.1471220782128423,0.32337021273589056,0.5443127962085308,876,0.12426960536187612,0.8235294117647058,D_trend_filtered
D_trend_sma100_200_inv_vol_v63,0.9813914088258291,0.04167866668466069,0.050113240312966253,0.8399663931409703,-0.1471220782128425,0.28329308007982246,0.54739336492891,876,0.07818373165128165,0.8235294117647058,D_trend_filtered
D_trend_ema100_200_positive_norm_v63,1.26290244206923,0.04997533465682613,0.0720309102502683,0.71315239468954,-0.14355997404116683,0.34811468162076536,0.54739336492891,876,0.13926339069188717,0.7647058823529411,D_trend_filtered
D_trend_ema100_200_rank_v63,1.1572116643712063,0.04698056451746524,0.06767798208894413,0.7123029512499524,-0.14606084848235823,0.32165063400367505,0.5443127962085308,876,0.12268620038578691,0.8235294117647058,D_trend_filtered
D_trend_ema100_200_inv_vol_v63,0.8528114349458216,0.03751339583519098,0.048502619508230566,0.7836044933358051,-0.14712207821284307,0.25498141605177677,0.5466824644549763,876,0.07456802549222659,0.8235294117647058,D_trend_filtered
D_trend_sma50_100_positive_norm_v126,0.9962854587177359,0.042144611305216184,0.07294796858317361,0.6024729513622327,-0.1460042884873799,0.2886532425988228,0.54739336492891,876,0.15044898888989225,0.7647058823529411,D_trend_filtered
D_trend_sma50_100_rank_v126,0.9379274069988768,0.040299866935283424,0.06887458660232838,0.6081708919385725,-0.1419701754625814,0.2838614998113116,0.5445497630331754,876,0.14292011952188438,0.7647058823529411,D_trend_filtered
D_trend_sma50_100_inv_vol_v126,0.7551319999790052,0.03416328442897165,0.05081750512831066,0.6865263530469603,-0.14197017546258117,0.24063705153323564,0.5462085308056872,876,0.1022507524453114,0.8235294117647058,D_trend_filtered
D_trend_sma100_200_positive_norm_v126,1.2450356785280565,0.049478439668634744,0.0733464367270863,0.6952160025527272,-0.14261359706821708,0.34694054904854177,0.5481042654028436,876,0.13718417965284188,0.7647058823529411,D_trend_filtered
