date,sum_weights,min_weight,max_weight,turnover,turnover_cap_pass,fully_invested_pass,long_only_pass,no_leverage_pass,period
2009-10-30,1.0,0.09999999999999999,0.39999999999999997,0.22600502512562815,True,True,True,True,train
2009-11-06,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2009-11-13,1.0,0.1,0.32499999999999996,0.25,True,True,True,True,train
2009-11-20,1.0,0.1,0.4,0.15000000000000008,True,True,True,True,train
2009-11-27,1.0,0.1,0.4,0.0,True,True,True,True,train
2009-12-04,1.0,0.09999999999999999,0.39999999999999997,0.20000000000000012,True,True,True,True,train
2009-12-11,1.0,0.10000000000000002,0.4000000000000001,0.20000000000000018,True,True,True,True,train
2009-12-18,1.0,0.10000000000000002,0.4000000000000001,0.0,True,True,True,True,train
2009-12-24,0.9999999999999999,0.14166666666666664,0.35833333333333334,0.24999999999999997,True,True,True,True,train
2009-12-31,1.0,0.20909090909090908,0.3363636363636363,0.25,True,True,True,True,train
2010-01-08,1.0,0.12348484848484854,0.3893939393939394,0.24999999999999997,True,True,True,True,train
2010-01-15,1.0,0.1,0.4,0.05000000000000014,True,True,True,True,train
2010-01-22,1.0,0.14166666666666666,0.35833333333333334,0.25,True,True,True,True,train
2010-01-29,1.0,0.20909090909090908,0.33636363636363636,0.25,True,True,True,True,train
2010-02-05,1.0,0.11818181818181817,0.38939393939393935,0.24999999999999997,True,True,True,True,train
2010-02-12,1.0,0.09999999999999999,0.39999999999999997,0.05,True,True,True,True,train
2010-02-19,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-02-26,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-03-05,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2010-03-12,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-03-19,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2010-03-26,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2010-04-01,1.0,0.10000000000000002,0.4000000000000001,0.2000000000000001,True,True,True,True,train
2010-04-09,1.0,0.09999999999999999,0.39999999999999997,0.20000000000000018,True,True,True,True,train
2010-04-16,1.0,0.10000000000000002,0.4000000000000001,0.20000000000000018,True,True,True,True,train
2010-04-23,1.0,0.13750000000000004,0.4,0.25,True,True,True,True,train
2010-04-30,1.0,0.11071428571428574,0.35,0.25,True,True,True,True,train
2010-05-07,1.0,0.1595424107142857,0.37734375,0.25,True,True,True,True,train
2010-05-14,1.0,0.12420091882117201,0.39470604900786865,0.25,True,True,True,True,train
2010-05-21,1.0,0.07187225992469755,0.3418655881940366,0.24999999999999997,True,True,True,True,train
2010-05-28,1.0,0.019543601028223098,0.4165510646816562,0.24999999999999997,True,True,True,True,train
2010-06-04,1.0,0.0,0.44444444444444453,0.09336949121363695,True,True,True,True,train
2010-06-11,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2010-06-18,1.0,0.07031249999999999,0.4131944444444445,0.25000000000000006,True,True,True,True,train
2010-06-25,1.0,0.0,0.44444444444444453,0.25000000000000006,True,True,True,True,train
2010-07-02,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2010-07-09,1.0,0.0,0.44444444444444453,0.22222222222222232,True,True,True,True,train
2010-07-16,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2010-07-23,1.0,0.0,0.44444444444444453,0.0,True,True,True,True,train
2010-07-30,1.0,0.09999999999999999,0.39999999999999997,0.2000000000000002,True,True,True,True,train
2010-08-06,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-08-13,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-08-20,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999996,True,True,True,True,train
2010-08-27,1.0,0.09999999999999999,0.39999999999999997,0.19999999999999996,True,True,True,True,train
2010-09-03,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2010-09-10,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-09-17,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-09-24,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-10-01,1.0,0.09999999999999999,0.39999999999999997,0.0,True,True,True,True,train
2010-10-08,1.0,0.09999999999999999,0.39999999999999997,0.2,True,True,True,True,train
2010-10-15,1.0,0.10000000000000002,0.3375,0.24999999999999994,True,True,True,True,train
2010-10-22,1.0,0.09999999999999999,0.39999999999999997,0.24999999999999994,True,True,True,True,train
