series,ADF_p,VR(k=5),Hurst,half_life_days
ACWI,0.9521000020684431,0.8604962065348429,0.49250395488815146,5147.639935813892
AGG,0.22209833064018797,0.8292477908685775,0.4813545250827863,887.283517165962
GLD,0.767144848640475,0.9752560315525469,0.44406031920339345,1042.8206776682864
BSV,0.4573850338027107,0.7207051728045449,0.48233197943108047,1298.029262347468
log(AGG)-log(BSV),0.3584933445020747,0.5605298792214676,0.4221578174932336,407.6071681817541
log(ACWI)-log(GLD),0.6126252624404097,0.8372422220719009,0.4709603456151663,571.4752447361064
log(ACWI)-log(AGG),0.9386893266508277,0.7993715225118387,0.4982341834108071,1964.2085455257272
