,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,calmar,win_rate_daily,n_rebalances,avg_weekly_turnover
Selected strategy (2026 YTD),0.024344033664150277,0.05136853915140027,0.11758997367412062,0.4846028337915654,-0.08870280530387986,0.5791083943221513,0.5702479338842975,26.0,0.16460622710622716
Equal-weight (2026 YTD),0.01857520742501828,0.039074744175881415,0.1186331445556098,0.3821284623025249,-0.07276843260748034,0.5369738329620786,0.5619834710743802,26.0,0.0
Buy-and-hold ACWI (2026 YTD),0.09747911473504178,0.21375508611887417,0.1633654036868965,1.267204101939745,-0.09727542278714907,2.1974213012324535,0.5371900826446281,0.0,
